mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
34.98510114351908,0.20398420512144197,4.512753248214722,0.07317778607687342,100,2,1,,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None}",0.7159309871320679,0.7172093023255814,0.7148615725359911,0.7160006206645467,0.0009597205888057733,8
79.84028808275859,2.828884044655809,11.92018715540568,0.7122401879893544,200,2,1,,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None}",0.7165068326282917,0.7177408637873754,0.7155038759689922,0.7165838574615532,0.0009148691139913358,7
38.6074333190918,1.0425111130492923,5.0461123784383135,0.7762311215148074,100,5,1,,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': None}",0.7186551792872805,0.7195570321151716,0.7158803986710963,0.7180308700245162,0.0015645510351116304,2
96.0257670879364,1.0528634751378434,11.81691018740336,0.9021643928503664,200,5,1,,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': None}",0.7183894044428695,0.7204872646733111,0.716500553709856,0.7184590742753456,0.0016283133381306584,1
47.34790825843811,6.062091484713039,3.7631826400756836,0.6666645649778249,100,2,2,,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None}",0.7166397200504973,0.7193798449612403,0.7161018826135105,0.7173738158750828,0.0014353702885873281,4
86.15696096420288,0.3998711781090591,11.534072319666544,0.16223495728961837,200,2,2,,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None}",0.7178578547540475,0.7196456256921373,0.7161018826135105,0.7178684543532318,0.0014467464683341525,3
42.79661210378011,2.0655513549340747,3.847803513209025,0.839529993168823,100,5,2,,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None}",0.7168833469912073,0.7186046511627907,0.7150387596899225,0.7168422526146401,0.001456059078450613,6
82.12543574968974,1.160436105558295,8.87958836555481,0.6363264057518581,200,5,2,,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None}",0.7171048260282165,0.7196013289036545,0.7152159468438538,0.7173073672585749,0.001796044016740069,5
25.906457265218098,2.0203224774554087,1.948221206665039,0.09847988368815636,100,2,1,10,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10}",0.6952226971717127,0.6982724252491694,0.6945071982281285,0.6960007735496702,0.0016326432081027143,13
55.621363162994385,1.0262762775732985,3.9773950576782227,0.5492797430312225,200,2,1,10,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10}",0.6955770636309273,0.6988704318936877,0.695282392026578,0.6965766291837311,0.0016264185588291625,9
27.132954438527424,0.8771349733071316,1.9970626831054688,0.44457591235309435,100,5,1,10,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 10}",0.6948461828087972,0.6981616832779624,0.6948615725359911,0.6959564795409169,0.0015593271737804639,14
44.91543833414713,1.2934102695798477,3.2767966588338218,0.20359184943088493,200,5,1,10,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 10}",0.6948240349050963,0.6983831672203765,0.6946179401993355,0.6959417141082694,0.0017284171431107464,15
21.49631404876709,0.6232662985154318,1.5351181030273438,0.08075609187255753,100,2,2,10,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 10}",0.6952226971717127,0.6980509413067553,0.695548172757475,0.6962739370786477,0.0012635377871321042,10
46.20257965723673,0.5496776854775784,3.7388567129770913,0.33947730913962665,200,2,2,10,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 10}",0.6950898097495072,0.6981838316722038,0.6951052048726467,0.6961262820981192,0.0014549208317100404,11
26.998570919036865,3.6425715059278807,2.1321162382761636,0.46078898706526145,100,5,2,10,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 10}",0.6949569223273018,0.6977408637873754,0.6946622369878184,0.6957866743674984,0.0013870477230183875,16
59.616998751958214,1.098446539332123,3.0297537644704184,0.4925556311086497,200,5,2,10,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 10}",0.6950455139421053,0.698250276854928,0.6949944629014396,0.6960967512328243,0.0015229151882669154,12
